asset_id,serial_number,asset_type,purchase_date,cost,os_version,status,location,owner_emp_id,warranty_expiry,last_audit_date
A0067,CS7034824,Docking Station,2023-03-22,279.44,,Pending Disposal,Remote,17.0,2026-03-21,2025-03-09
A0068,AF9324808,Monitor,2019-12-07,418.03,,Pending Disposal,Building B,18.0,2024-12-05,2024-05-28
A0069,TR1712748,Laptop,2025-08-14,1827.61,Windows 11,Retired,Warehouse,21.0,2026-08-14,2024-12-23
A0070,MG7378263,Desktop,2023-02-09,865.91,macOS 14,In Storage,Building B,5.0,2028-02-08,2025-12-20
A0071,SU1465840,Docking Station,2020-09-07,166.18,,Pending Disposal,Remote,4.0,2023-09-07,2024-08-17
A0072,JW7278755,Docking Station,2023-11-03,177.9,,In Use,Remote,31.0,2024-11-02,2025-05-12
A0073,CU5339636,Monitor,2022-12-01,254.51,,Pending Disposal,Remote,35.0,2025-11-30,2025-12-19
A0074,LV6627028,Docking Station,2024-08-31,143.88,,Pending Disposal,Remote,2.0,2029-08-30,2026-05-05
A0075,PJ7187026,Monitor,2025-11-06,384.11,,Pending Disposal,Building B,54.0,2030-11-05,2023-12-16
A0076,YU4596158,Desktop,2025-03-14,1778.79,macOS 15,In Use,Remote,38.0,2026-03-14,2025-08-11
A0077,OV7809134,Laptop,2025-12-10,1735.57,Windows 11,Pending Disposal,Building B,4.0,2028-12-09,2024-01-02
A0078,YD1724005,Docking Station,2026-07-30,165.47,,Pending Disposal,Warehouse,22.0,2031-07-29,2024-08-11
A0079,LF2386922,Monitor,2022-05-10,413.2,,Pending Disposal,Warehouse,54.0,2023-05-10,2025-07-24
A0080,DQ3792374,Docking Station,2022-05-29,103.88,,In Use,Warehouse,15.0,2023-05-29,2025-09-24
A0081,LT7482175,Laptop,2026-01-08,1880.5,Windows 11,In Storage,Building A,40.0,2029-01-07,2025-08-25
A0082,PY4743671,Desktop,2022-09-13,838.84,Windows 10,In Storage,Remote,45.0,2025-09-12,2025-06-12
A0083,MV4064090,Monitor,2023-10-03,208.73,,In Use,Building B,,2024-10-02,2025-03-22
A0084,QR4395339,Laptop,2026-01-22,2107.55,macOS 15,Pending Disposal,Remote,46.0,2029-01-21,2025-12-31
A0085,QR4395339,Laptop,2025-02-06,1669.73,Windows 11,In Use,Warehouse,55.0,2026-02-06,2024-02-16
A0086,HG5623285,Laptop,2026-02-05,1351.36,macOS 14,Retired,Building A,33.0,2029-02-04,2026-06-22
A0087,JW4745171,Laptop,2025-07-17,2004.45,macOS 14,In Use,Remote,24.0,2030-07-16,2026-08-19
A0088,IH6851604,Desktop,2025-10-01,1179.04,macOS 15,Retired,Remote,,2030-09-30,2025-02-04
A0089,BN4965137,Monitor,2024-06-09,262.81,,In Storage,Building A,18.0,2029-06-08,2026-05-21
A0090,IC9317461,Desktop,2023-08-29,1525.52,macOS 15,Pending Disposal,Warehouse,2.0,2028-08-27,2026-07-28
A0091,DX7113826,Monitor,2021-11-10,213.64,,In Storage,Warehouse,52.0,2024-11-09,2025-09-28
A0092,NA8692617,Monitor,2024-12-06,247.88,,Retired,Building A,34.0,2027-12-06,2026-07-20
A0093,RX5377351,Laptop,2021-09-09,1213.76,macOS 14,Pending Disposal,Building B,45.0,2026-09-08,2025-05-13
A0094,FQ5064317,Docking Station,2026-07-29,189.63,,In Use,Building A,19.0,2029-07-28,2024-05-14
A0095,EW0053293,Docking Station,2024-03-16,238.36,,Retired,Warehouse,31.0,2027-03-16,2025-05-24
A0096,II3529042,Docking Station,2023-11-01,299.33,,Retired,Warehouse,45.0,2028-10-30,2024-06-25
A0097,BL0205395,Monitor,2020-12-14,257.32,,In Storage,Building A,47.0,2023-12-14,2024-07-11
A0098,GL6811775,Monitor,2020-08-13,191.84,,In Storage,Building B,14.0,2025-08-12,2024-01-22
A0099,EZ9084700,Monitor,2023-04-04,403.6,,Retired,Building A,54.0,2026-04-03,2025-01-04
A0100,IR7115921,Monitor,2020-06-26,229.62,,In Storage,Warehouse,1.0,2023-06-26,2025-08-09
A0101,MB5698478,Monitor,2023-10-30,165.93,,In Use,Warehouse,45.0,2026-10-29,2024-01-11
A0102,DZ8367365,Docking Station,2024-08-22,120.52,,In Use,Warehouse,31.0,2029-08-21,2024-12-23
A0103,FF6545271,Docking Station,2020-05-25,168.14,,In Use,Warehouse,56.0,2025-05-24,2024-01-05
A0104,VQ5280988,Laptop,2020-05-28,1968.75,macOS 14,Pending Disposal,Building A,37.0,2021-05-28,2024-02-05
A0105,KG6049451,Desktop,2022-03-16,864.12,macOS 15,Retired,Building A,16.0,2023-03-16,2024-05-15
A0106,KO3158514,Docking Station,2024-04-29,221.26,,In Storage,Remote,29.0,2029-04-28,2026-02-25
A0107,LR9980940,Monitor,2025-08-24,451.06,,Pending Disposal,Warehouse,37.0,2026-08-24,2025-11-03
A0108,EJ5502296,Laptop,2021-11-22,2131.87,Windows 11,In Storage,Warehouse,43.0,2022-11-22,2025-12-15
A0109,KX1836675,Desktop,2026-07-13,963.85,macOS 15,In Use,Building B,1.0,2031-07-12,2024-08-31
A0110,DR9910229,Docking Station,2022-01-01,237.87,,Pending Disposal,Warehouse,3.0,2024-12-31,2023-12-23
A0111,WG6797643,Monitor,2022-10-31,397.43,,Pending Disposal,Building A,44.0,2025-10-30,2024-01-27
A0112,ZM4978403,Monitor,2022-09-27,425.74,,In Storage,Remote,8.0,2025-09-26,2023-11-24
A0113,FV3244510,Desktop,2021-02-28,1699.25,Windows 11,In Use,Building A,11.0,2024-02-28,2025-01-08
A0114,VC8388516,Monitor,2020-08-20,303.7,,Pending Disposal,Warehouse,45.0,2025-08-19,2025-01-15
A0115,SH1596966,Monitor,2022-12-13,325.17,,Pending Disposal,Remote,6.0,2023-12-13,2024-12-11
A0116,PB2975161,Docking Station,2026-06-29,246.91,,Retired,Building A,6.0,2029-06-28,2025-07-01
A0117,GO6453521,Laptop,2023-05-26,2199.44,macOS 13,In Use,Building B,31.0,2028-05-24,2024-01-27
A0118,ML5523124,Monitor,2023-04-20,213.52,,Pending Disposal,Remote,6.0,2028-04-18,2025-07-16
A0119,RK1277997,Monitor,2025-01-19,292.92,,Retired,Building A,55.0,2028-01-19,2025-08-29
A0120,OT5527177,Monitor,2026-08-20,294.08,,Pending Disposal,Warehouse,43.0,2031-08-19,2026-02-13
A0121,DX5814770,Laptop,2023-11-14,1491.27,macOS 13,Retired,Warehouse,8.0,2028-11-12,2026-03-24
A0122,JY1998679,Laptop,2020-04-08,1754.96,macOS 15,Pending Disposal,Remote,4.0,2023-04-08,2025-12-12
A0123,DC9359782,Monitor,2020-01-07,367.92,,Pending Disposal,Remote,49.0,2021-01-06,2024-01-16
A0124,CH5182037,Desktop,2026-01-09,993.76,Windows 11,Retired,Remote,57.0,2031-01-08,2025-04-19
A0125,YO5466590,Laptop,2020-11-03,937.53,macOS 15,In Storage,Building B,20.0,2021-11-03,2025-09-03
A0126,VF1864492,Docking Station,2020-03-11,118.64,,In Use,Remote,8.0,2023-03-11,2025-06-24
A0127,JY5462914,Docking Station,2020-09-20,286.53,,Retired,Warehouse,27.0,2025-09-19,2025-08-30
A0128,XT2816850,Docking Station,2022-01-11,148.75,,In Storage,Remote,13.0,2025-01-10,2024-04-09
A0129,YG7332214,Laptop,2021-03-25,1259.12,macOS 14,Retired,Warehouse,53.0,2022-03-25,2025-04-03
A0130,JK8059296,Monitor,2023-07-05,404.12,,Pending Disposal,Building B,29.0,2028-07-03,2024-04-10
A0131,CN9270653,Monitor,2024-07-30,266.35,,Pending Disposal,Remote,60.0,2027-07-30,2024-08-02
A0132,XR7383473,Desktop,2024-12-20,1778.85,Windows 11,Pending Disposal,Building B,55.0,2029-12-19,2026-07-29
A0133,MZ7468862,Laptop,2026-08-15,1313.63,macOS 14,Pending Disposal,Remote,43.0,2029-08-14,2025-07-18
A0134,SF0758181,Docking Station,2025-11-03,292.96,,In Storage,Warehouse,56.0,2026-11-03,2026-01-08
A0135,SF0758181,Docking Station,2021-08-22,119.94,,Pending Disposal,Building A,47.0,2024-08-21,2023-11-22
A0136,GT3615305,Docking Station,2023-03-31,274.19,,In Storage,Building A,31.0,2026-03-30,2025-09-06
A0137,NA2047277,Monitor,2025-04-08,368.14,,Pending Disposal,Building A,55.0,2028-04-07,2026-06-13
A0138,XS3289861,Docking Station,2019-11-12,290.83,,Pending Disposal,Building A,40.0,2020-11-11,2024-06-11
A0139,MI3697117,Desktop,2020-08-01,1394.28,macOS 13,In Storage,Building A,28.0,2021-08-01,2023-10-13
A0140,PK3246095,Laptop,2023-05-04,1476.78,macOS 13,In Use,Building A,21.0,2024-05-03,2024-12-24
A0141,YG1851888,Monitor,2024-05-19,275.46,,Pending Disposal,Building B,16.0,2029-05-18,2025-05-24
A0142,YE7065405,Desktop,2022-06-18,886.98,Windows 10,Pending Disposal,Building B,32.0,2025-06-17,2024-10-06
A0143,VP1952058,Desktop,2024-11-10,1207.26,macOS 13,Pending Disposal,Warehouse,43.0,2025-11-10,2024-04-03
A0144,SM7722170,Docking Station,2025-03-08,280.24,,In Storage,Building A,29.0,2028-03-07,2023-11-12
A0145,QC0548687,Monitor,2021-02-15,373.63,,Pending Disposal,Warehouse,30.0,2024-02-15,2025-12-28
A0146,ZV5054156,Desktop,2021-01-25,1799.31,macOS 14,In Use,Building B,25.0,2024-01-25,2025-01-18
A0147,ZF5277584,Monitor,2026-06-04,497.44,,Retired,Building A,54.0,2031-06-03,2025-11-29
A0148,UQ9284511,Monitor,2020-04-13,152.83,,In Use,Remote,54.0,2023-04-13,2024-08-14
A0149,NB6275705,Desktop,2022-11-07,1367.77,macOS 13,In Storage,Building B,40.0,2025-11-06,2024-07-21
A0150,JM0165820,Desktop,2026-08-03,1391.07,Windows 10,Retired,Remote,3.0,2029-08-02,2025-10-07
A0151,CM2135569,Desktop,2022-10-18,799.15,macOS 13,Retired,Remote,12.0,2025-10-17,2024-03-11
A0152,CM2135569,Desktop,2022-11-18,1565.16,macOS 13,Retired,Building B,17.0,2027-11-17,2024-09-03
A0153,HQ1027868,Monitor,2021-09-06,411.3,,Retired,Building A,30.0,2022-09-06,2026-01-21
A0154,EC3947312,Desktop,2024-08-28,1529.57,Windows 11,Pending Disposal,Warehouse,6.0,2029-08-27,2024-04-01
A0155,TK1551884,Laptop,2024-09-21,1243.8,Windows 10,Pending Disposal,Warehouse,44.0,2027-09-21,2025-11-13
A0156,PY2583132,Docking Station,2026-03-22,264.48,,Retired,Building A,44.0,2029-03-21,2025-03-19
A0157,ET9578291,Docking Station,2022-04-04,105.0,,Retired,Building B,42.0,2023-04-04,2024-12-04
A0158,UP7866912,Docking Station,2024-09-30,281.88,,Retired,Remote,8.0,2027-09-30,2023-12-15
A0159,BG8528922,Laptop,2022-12-28,2130.14,macOS 13,Pending Disposal,Building A,7.0,2025-12-27,2026-06-19
A0160,TO1824225,Desktop,2020-02-13,1127.51,macOS 13,Pending Disposal,Building B,57.0,2025-02-11,2024-10-08
A0161,OT4143842,Laptop,2026-04-25,1983.8,macOS 15,Pending Disposal,Warehouse,3.0,2029-04-24,2025-07-29
A0162,VK2992299,Desktop,2020-05-20,1187.72,Windows 11,Retired,Building A,44.0,2023-05-20,2023-11-09
A0163,NO1094396,Monitor,2025-10-10,171.19,,Retired,Building B,8.0,2030-10-09,2023-10-28
A0164,DE8447364,Laptop,2025-12-14,1761.6,macOS 15,In Use,Building A,51.0,2028-12-13,2025-10-18
A0165,DE8447364,Desktop,2020-11-02,1787.7,macOS 15,In Storage,Building A,54.0,2023-11-02,2024-09-08
A0166,UP5625881,Desktop,2026-08-24,1594.36,Windows 11,Retired,Building B,51.0,2027-08-24,2025-02-17
A0167,AP3210469,Monitor,2021-08-08,450.44,,In Storage,Building B,35.0,2024-08-07,2026-08-15
A0168,DF5953278,Desktop,2026-01-17,820.92,Windows 10,In Storage,Building A,23.0,2029-01-16,2026-05-15
A0169,WD1687339,Monitor,2023-03-19,155.52,,Retired,Building A,9.0,2028-03-17,2023-11-19
A0170,QU7480162,Laptop,2023-03-12,1869.36,macOS 14,Pending Disposal,Warehouse,33.0,2024-03-11,2024-10-29
A0171,JS0609835,Docking Station,2022-07-21,200.77,,In Use,Warehouse,30.0,2023-07-21,2023-12-14
A0172,ZX8499121,Laptop,2023-04-05,2198.16,macOS 14,Pending Disposal,Building A,32.0,2028-04-03,2026-02-12
A0173,CC5239868,Laptop,2022-02-07,2069.05,macOS 13,In Storage,Building A,9.0,2025-02-06,2023-11-06
A0174,UN7872982,Monitor,2024-09-21,283.32,,Retired,Remote,,2029-09-20,2024-09-08
A0175,FT9495888,Laptop,2022-06-25,1931.02,Windows 10,In Storage,Remote,29.0,2025-06-24,2025-06-02
A0176,YU0551694,Docking Station,2023-01-20,167.79,,Pending Disposal,Remote,,2024-01-20,2026-05-07
A0177,LE9749930,Monitor,2024-02-19,299.37,,Retired,Warehouse,10.0,2029-02-17,2024-03-29
A0178,MB9623091,Laptop,2024-02-18,1018.59,Windows 10,In Use,Remote,7.0,2027-02-17,2025-01-20
A0179,TI6368970,Desktop,2022-08-30,1312.01,macOS 15,Retired,Building A,27.0,2025-08-29,2025-04-15
A0180,VI7865278,Docking Station,2023-08-28,273.62,,In Use,Warehouse,39.0,2026-08-27,2024-10-17
A0181,TO4973348,Monitor,2025-02-18,186.26,,In Storage,Building B,43.0,2030-02-17,2026-07-22
A0182,YU4375758,Desktop,2026-08-09,1632.0,macOS 13,Retired,Building A,49.0,2029-08-08,2024-07-20
A0183,ST8665240,Desktop,2020-08-01,1587.94,macOS 15,In Use,Warehouse,2.0,2023-08-01,2023-12-20
A0184,SR4733848,Monitor,2026-03-13,395.94,,Retired,Warehouse,23.0,2027-03-13,2024-02-22
A0185,DG9330833,Desktop,2024-01-15,1656.85,macOS 15,Pending Disposal,Building A,10.0,2025-01-14,2024-12-20
A0186,EP1208267,Laptop,2024-10-01,1869.95,Windows 11,Pending Disposal,Remote,30.0,2027-10-01,2024-04-30
A0187,VU5401938,Desktop,2026-06-23,1107.06,macOS 13,In Use,Building A,10.0,2029-06-22,2026-04-13
A0188,VS2620672,Laptop,2019-12-29,1776.16,macOS 13,Pending Disposal,Remote,32.0,2024-12-27,2026-05-12
A0189,HF9915478,Docking Station,2019-10-18,154.63,,In Use,Warehouse,28.0,2020-10-17,2026-05-26
A0190,UD8743152,Monitor,2020-09-02,387.38,,Pending Disposal,Warehouse,3.0,2023-09-02,2025-09-04
A0191,OZ0549329,Docking Station,2024-10-04,296.89,,In Use,Building A,14.0,2027-10-04,2026-03-19
A0192,PA1612275,Desktop,2023-05-04,1544.08,macOS 13,Retired,Warehouse,8.0,2024-05-03,2024-07-06
A0193,PX4549904,Docking Station,2021-05-18,249.4,,In Storage,Building B,,2024-05-17,2025-10-23
A0194,SH1742684,Monitor,2020-03-01,175.23,,In Use,Remote,2.0,2025-02-28,2025-08-25
A0195,DV5933272,Laptop,2026-04-25,2020.74,macOS 15,Pending Disposal,Remote,46.0,2031-04-24,2026-09-12
A0196,HC8783391,Monitor,2022-05-06,190.31,,In Use,Warehouse,11.0,2027-05-05,2025-04-25
A0197,IJ9108839,Monitor,2022-04-06,180.85,,In Use,Building B,28.0,2027-04-05,2024-03-23
A0198,CZ7139718,Laptop,2025-09-17,1414.5,macOS 13,Retired,Building B,22.0,2028-09-16,2023-11-24
A0199,UB6790874,Laptop,2020-08-27,1563.63,Windows 10,In Storage,Warehouse,23.0,2023-08-27,2024-12-01
A0200,ID3910651,Desktop,2025-06-11,813.08,macOS 13,In Storage,Building B,39.0,2028-06-10,2026-07-15
A0201,XY7046226,Laptop,2020-03-19,1130.29,macOS 14,Pending Disposal,Remote,44.0,2023-03-19,2025-01-28
A0202,LI6618251,Monitor,2026-02-24,202.84,,In Use,Remote,29.0,2029-02-23,2024-11-28
A0203,IY3004786,Monitor,2020-08-15,357.0,,Retired,Building A,20.0,2025-08-14,2026-03-15
A0204,NX5243106,Docking Station,2021-06-18,107.52,,Retired,Warehouse,5.0,2022-06-18,2026-07-17
A0205,MR3311907,Docking Station,2025-12-14,192.54,,In Use,Remote,59.0,2028-12-13,2025-11-03
A0206,IG0673830,Monitor,2020-01-27,361.75,,In Storage,Building A,29.0,2021-01-26,2026-09-17
A0207,JQ9599534,Monitor,2021-05-15,493.83,,In Use,Building B,3.0,2024-05-14,2025-04-18
A0208,FD4089268,Docking Station,2022-08-17,298.2,,In Storage,Warehouse,24.0,2025-08-16,2026-08-25
A0209,YL6856624,Docking Station,2026-04-27,181.75,,Retired,Building A,51.0,2029-04-26,2025-12-29
A0210,AJ3427086,Laptop,2023-01-17,1328.6,macOS 15,Pending Disposal,Warehouse,17.0,2026-01-16,2025-04-27
A0211,IU4351751,Monitor,2022-06-13,178.53,,In Storage,Warehouse,20.0,2027-06-12,2026-03-22
A0212,UQ6990139,Desktop,2020-02-03,1354.55,Windows 10,Retired,Remote,42.0,2023-02-02,2025-05-29
A0213,PS5403317,Desktop,2023-02-01,1437.13,macOS 15,In Use,Remote,33.0,2026-01-31,2025-07-18
A0214,PW3854678,Laptop,2021-02-28,1371.38,Windows 11,In Storage,Warehouse,50.0,2026-02-27,2024-08-28
A0215,UA7717535,Desktop,2022-04-01,949.2,Windows 11,In Storage,Building A,19.0,2023-04-01,2023-11-14
A0216,SJ2048996,Laptop,2025-10-11,1760.51,macOS 15,In Storage,Remote,10.0,2028-10-10,2024-04-27
A0217,UP9378547,Desktop,2021-05-04,1614.48,macOS 15,In Storage,Remote,3.0,2026-05-03,2025-12-13
A0218,PD5228728,Monitor,2022-12-15,386.73,,In Storage,Remote,40.0,2025-12-14,2025-04-21
A0219,TJ1006231,Docking Station,2025-08-08,146.8,,In Storage,Warehouse,52.0,2030-08-07,2023-10-05
A0220,AI5099770,Desktop,2023-04-09,1104.63,macOS 15,Pending Disposal,Remote,50.0,2026-04-08,2025-05-21
A0221,ZL8484086,Docking Station,2019-10-25,200.58,,Pending Disposal,Building B,,2022-10-24,2024-01-20
A0222,RY2339845,Desktop,2020-05-28,1660.3,Windows 10,Pending Disposal,Warehouse,36.0,2021-05-28,2024-12-02
A0223,PP6793341,Laptop,2022-05-05,1270.58,Windows 11,Retired,Remote,58.0,2025-05-04,2026-01-04
A0224,FF6687002,Docking Station,2020-05-20,118.34,,In Storage,Remote,57.0,2023-05-20,2026-04-08
A0225,SK5918033,Laptop,2024-03-30,1439.37,macOS 14,Retired,Building B,25.0,2025-03-30,2025-02-27
A0226,BN1489025,Monitor,2020-01-22,228.59,,Retired,Building A,54.0,2023-01-21,2025-06-29
A0227,YR6142939,Desktop,2024-12-29,851.36,macOS 13,Pending Disposal,Building B,49.0,2029-12-28,2026-06-03
A0228,OE2185016,Docking Station,2022-01-19,223.07,,In Use,Building A,17.0,2025-01-18,2024-10-02
A0229,OW9650477,Desktop,2025-02-10,1303.68,macOS 15,Pending Disposal,Building A,50.0,2028-02-10,2025-05-23
A0230,TE2961943,Desktop,2022-05-11,1031.27,Windows 10,In Storage,Remote,41.0,2027-05-10,2023-12-23
A0231,TC2655110,Laptop,2020-10-23,1044.12,macOS 14,In Use,Building B,46.0,2023-10-23,2024-10-23
A0232,GA2126788,Monitor,2021-08-14,300.23,,Retired,Building B,37.0,2026-08-13,2024-01-16
A0233,GA2126788,Desktop,2020-05-11,1430.81,Windows 10,Retired,Building A,34.0,2021-05-11,2024-11-23
A0234,IR8398262,Docking Station,2020-04-28,274.67,,In Use,Remote,24.0,2023-04-28,2024-08-20
A0235,YE1264647,Laptop,2023-03-08,1364.22,Windows 10,Retired,Building B,47.0,2024-03-07,2024-10-24
A0236,TA7993712,Monitor,2026-05-04,196.69,,Retired,Warehouse,53.0,2029-05-03,2026-07-30
A0237,IT9657569,Docking Station,2022-01-21,296.16,,Pending Disposal,Building B,52.0,2025-01-20,2024-09-10
A0238,VS3752654,Laptop,2026-05-12,1830.86,macOS 14,In Use,Warehouse,13.0,2027-05-12,2025-08-18
A0239,KM3564651,Desktop,2026-07-03,1674.37,macOS 13,Retired,Remote,53.0,2031-07-02,2025-07-05
