asset_id,serial_number,book_cost,purchase_date
A0110,DR9910229,237.87,2022-01-01
A0111,WG6797643,397.43,2022-10-31
A0112,ZM4978403,425.74,2022-09-27
A0113,FV3244510,1699.25,2021-02-28
A0114,VC8388516,303.7,2020-08-20
A0115,SH1596966,325.17,2022-12-13
A0116,PB2975161,246.91,2026-06-29
A0117,GO6453521,2199.44,2023-05-26
A0118,ML5523124,213.52,2023-04-20
A0119,RK1277997,292.92,2025-01-19
A0121,DX5814770,1491.27,2023-11-14
A0122,JY1998679,1754.96,2020-04-08
A0123,DC9359782,367.92,2020-01-07
A0124,CH5182037,993.76,2026-01-09
A0125,YO5466590,937.53,2020-11-03
A0126,VF1864492,118.64,2020-03-11
A0127,JY5462914,286.53,2020-09-20
A0128,XT2816850,148.75,2022-01-11
A0129,YG7332214,1259.12,2021-03-25
A0130,JK8059296,404.12,2023-07-05
A0131,CN9270653,266.35,2024-07-30
A0132,XR7383473,1778.85,2024-12-20
A0133,MZ7468862,1313.63,2026-08-15
A0134,SF0758181,292.96,2025-11-03
A0135,BA8261375,119.94,2021-08-22
A0136,GT3615305,274.19,2023-03-31
A0137,NA2047277,368.14,2025-04-08
A0138,XS3289861,290.83,2019-11-12
A0139,MI3697117,1394.28,2020-08-01
A0140,PK3246095,1476.78,2023-05-04
A0141,YG1851888,275.46,2024-05-19
A0142,YE7065405,886.98,2022-06-18
A0143,VP1952058,1207.26,2024-11-10
A0144,SM7722170,280.24,2025-03-08
A0145,QC0548687,373.63,2021-02-15
A0146,ZV5054156,1799.31,2021-01-25
A0147,ZF5277584,497.44,2026-06-04
A0148,UQ9284511,152.83,2020-04-13
A0149,NB6275705,1367.77,2022-11-07
A0150,JM0165820,1391.07,2026-08-03
A0151,CM2135569,799.15,2022-10-18
A0152,XZ5571928,1565.16,2022-11-18
A0153,HQ1027868,411.3,2021-09-06
A0154,EC3947312,1529.57,2024-08-28
A0155,TK1551884,1243.8,2024-09-21
A0156,PY2583132,264.48,2026-03-22
A0157,ET9578291,105.0,2022-04-04
A0158,UP7866912,281.88,2024-09-30
A0159,BG8528922,2130.14,2022-12-28
A0160,TO1824225,1127.51,2020-02-13
A0161,OT4143842,1983.8,2026-04-25
A0162,VK2992299,1187.72,2020-05-20
A0163,NO1094396,171.19,2025-10-10
A0164,DE8447364,1761.6,2025-12-14
A0165,UT6773592,1787.7,2020-11-02
A0166,UP5625881,1594.36,2026-08-24
A0167,AP3210469,450.44,2021-08-08
A0168,DF5953278,820.92,2026-01-17
A0170,QU7480162,1869.36,2023-03-12
A0171,JS0609835,200.77,2022-07-21
A0172,ZX8499121,2198.16,2023-04-05
A0173,CC5239868,2069.05,2022-02-07
A0174,UN7872982,283.32,2024-09-21
A0175,FT9495888,1931.02,2022-06-25
A0176,YU0551694,167.79,2023-01-20
A0177,LE9749930,307.96,2024-02-19
A0178,MB9623091,1018.59,2024-02-18
A0179,TI6368970,1312.01,2022-08-30
A0180,VI7865278,273.62,2023-08-28
A0181,TO4973348,186.26,2025-02-18
A0182,YU4375758,1632.0,2026-08-09
A0183,ST8665240,1587.94,2020-08-01
A0184,SR4733848,395.94,2026-03-13
A0185,DG9330833,1656.85,2024-01-15
A0186,EP1208267,1869.95,2024-10-01
A0187,VU5401938,1107.06,2026-06-23
A0188,VS2620672,1776.16,2019-12-29
A0189,HF9915478,154.63,2019-10-18
A0190,UD8743152,387.38,2020-09-02
A0191,OZ0549329,296.89,2024-10-04
A0192,PA1612275,1544.08,2023-05-04
A0193,PX4549904,249.4,2021-05-18
A0194,SH1742684,175.23,2020-03-01
A0195,DV5933272,2020.74,2026-04-25
A0196,HC8783391,190.31,2022-05-06
A0197,IJ9108839,180.85,2022-04-06
A0198,CZ7139718,1414.5,2025-09-17
A0199,UB6790874,1563.63,2020-08-27
A0200,ID3910651,813.08,2025-06-11
A0201,XY7046226,1130.29,2020-03-19
A0202,LI6618251,202.84,2026-02-24
A0203,IY3004786,357.0,2020-08-15
A0204,NX5243106,107.52,2021-06-18
A0205,MR3311907,192.54,2025-12-14
A0206,IG0673830,361.75,2020-01-27
A0207,JQ9599534,493.83,2021-05-15
A0208,FD4089268,298.2,2022-08-17
A0209,YL6856624,181.75,2026-04-27
A0210,AJ3427086,1328.6,2023-01-17
A0211,IU4351751,178.53,2022-06-13
A0212,UQ6990139,1354.55,2020-02-03
A0213,PS5403317,1437.13,2023-02-01
A0214,PW3854678,1371.38,2021-02-28
A0215,UA7717535,949.2,2022-04-01
A0216,SJ2048996,1760.51,2025-10-11
A0217,UP9378547,1614.48,2021-05-04
A0218,PD5228728,386.73,2022-12-15
A0219,TJ1006231,146.8,2025-08-08
A0220,AI5099770,1104.63,2023-04-09
A0221,ZL8484086,200.58,2019-10-25
A0222,RY2339845,1660.3,2020-05-28
A0223,PP6793341,1270.58,2022-05-05
A0224,FF6687002,118.34,2020-05-20
A0225,SK5918033,1439.37,2024-03-30
A0226,BN1489025,228.59,2020-01-22
A0227,YR6142939,851.36,2024-12-29
A0228,OE2185016,223.07,2022-01-19
A0229,OW9650477,1303.68,2025-02-10
A0230,TE2961943,934.44,2022-05-11
A0231,TC2655110,1044.12,2020-10-23
A0232,GA2126788,300.23,2021-08-14
A0233,SA8199560,1430.81,2020-05-11
A0234,IR8398262,274.67,2020-04-28
A0235,YE1264647,1364.22,2023-03-08
A0236,TA7993712,196.69,2026-05-04
A0237,IT9657569,296.16,2022-01-21
A0238,VS3752654,1830.86,2026-05-12
A0239,KM3564651,1674.37,2026-07-03
A0240,YY8073741,162.82,2023-07-20
A0241,CM4342661,245.63,2023-03-24
A0242,OF8680589,278.93,2022-07-15
A0243,YB5290965,173.47,2021-06-20
A0244,CX3888993,1459.79,2020-06-03
A0245,SA9825071,381.32,2025-02-19
A0246,EW2545738,1458.74,2020-05-01
A0247,VP7514010,154.91,2022-10-18
A0248,BD3828258,329.58,2025-04-30
A0249,CL2266093,1064.1,2022-07-26
A0251,ZL4785969,1282.41,2022-12-07
A0252,RI7924991,1856.38,2022-03-12
A0253,MI1252866,142.91,2021-05-26
A0254,IL7828274,1638.11,2022-09-10
A0255,JG0507236,398.34,2022-11-20
A0256,BY7677219,1573.07,2022-08-05
A0257,VX4384279,1569.41,2021-10-10
A0258,WC1914858,985.47,2023-07-31
A0259,QW3613407,1062.92,2022-10-27
A0260,KN1339596,1665.76,2020-05-04
A0261,IK3095849,1573.53,2021-03-06
A0262,DR4948126,481.62,2024-08-28
A0263,JK2325367,193.81,2020-08-14
A0264,SX6711684,888.32,2024-02-15
A0265,ZN9017518,959.1,2023-02-23
A0266,IK7454589,1547.45,2025-07-03
A0267,CD0017012,159.49,2025-03-31
A0268,QF3242415,196.85,2026-06-08
A0269,TG2064361,451.52,2026-01-21
A0270,SV2938700,330.24,2023-01-25
A0271,UZ6271361,1247.71,2026-08-24
A0272,KA4262218,272.83,2021-12-03
A0273,FG5326973,476.81,2020-11-17
A0274,PF6565234,299.19,2020-08-04
A0275,GM9404389,104.64,2023-12-09
A0276,OM0376137,167.03,2021-10-19
A0277,XI0552696,337.84,2025-12-13
A0278,CD1091043,417.35,2025-01-25
A0279,IN4866618,1098.78,2022-07-08
A0280,LO1832856,438.86,2020-04-25
A0281,BH1463031,428.21,2024-04-11
A0282,FW4210202,1362.71,2023-12-29
A0283,VZ4252410,431.39,2025-03-18
A0284,DF4917785,475.98,2023-05-25
A0285,AC2419138,327.56,2020-11-24
A0286,JZ0756220,265.93,2019-10-26
A0287,EK6353654,1675.98,2024-11-30
A0288,DS0238061,1276.66,2023-03-31
A0289,KY1870534,1644.34,2021-11-27
A0290,JA7597383,130.29,2024-02-02
A0291,GN8505064,1817.51,2019-11-25
A0292,HA7024103,162.75,2021-05-25
A0293,LK1918261,386.55,2022-05-04
A0294,UC2344565,345.33,2024-05-14
A0295,CD3291212,1459.26,2020-04-02
A0296,FK5374741,192.66,2020-07-29
A0297,WZ9035213,1019.5,2021-11-10
A0298,PG4206788,411.57,2024-06-20
A0299,ZX2100323,198.05,2025-05-10
A0300,MP1994101,757.74,2026-04-17
A0301,BU5107029,2153.87,2020-08-19
A0302,CJ6253244,262.41,2019-12-09
A0303,FR3476870,2087.2,2024-01-24
A0304,IY8380657,257.59,2022-08-31
A0307,LP8039652,1329.89,2021-06-02
A0308,KM5905992,348.72,2025-05-16
A0309,DO7842701,203.06,2025-05-27
A0310,TL7059325,1779.85,2019-11-14
A0312,KU6915452,378.79,2022-05-06
A0313,QL7528953,161.36,2025-04-09
A0314,CL4220969,278.64,2022-05-19
A0315,VE9391725,1200.48,2026-03-06
A0316,PS2157043,1538.05,2026-08-09
A0317,AF1006762,2092.42,2021-07-12
A0318,EZ6179327,1060.93,2022-03-10
A0319,KU5411526,118.19,2021-10-17
A0320,PK1599706,191.36,2026-04-28
A0321,UU0153368,1414.73,2022-10-08
A0322,FJ4310698,430.22,2024-05-09
A0324,FP7146774,273.92,2026-07-27
A0325,DQ6527047,191.52,2021-01-09
A0326,WL0211586,1883.03,2021-08-11
A0327,ET6868793,972.26,2020-02-27
A0328,HW0898992,1952.32,2026-01-18
A0329,RB2332061,1672.13,2026-05-16
A0330,JZ2945116,187.79,2025-06-27
A0331,HA8709986,1597.36,2025-09-22
A0332,WA9119148,1784.27,2023-09-12
A0333,JN9970246,1623.73,2024-04-24
A0334,XB0653074,2163.98,2024-08-01
A0335,VC4471324,281.76,2025-04-14
A0336,VF6913736,450.14,2021-12-23
A0337,IX0821486,293.56,2025-10-19
A0338,DD0233030,1063.29,2025-11-19
A0339,PX4578610,1249.0,2024-08-30
A0340,VS7985524,141.78,2022-11-08
A0342,QM0722903,283.03,2019-11-15
A0343,DT4665743,257.95,2021-11-13
A0344,PM6910858,252.33,2025-07-01
A0345,QP1715454,109.14,2021-10-26
A0346,ZQ4328309,159.04,2025-12-22
A0347,VC0744666,1249.23,2020-09-16
A0348,TK3538758,117.08,2026-09-10
A0349,WL2417248,1708.59,2025-11-12
A0350,XQ1353465,1893.64,2026-01-10
A0351,EM1709991,1184.34,2022-12-23
A0352,MV6846022,103.15,2025-10-20
A0353,OL7252175,156.0,2023-09-19
A0354,YW7432927,965.07,2020-02-20
A0355,CI6666760,1384.97,2020-08-20
A0356,OS0583003,389.41,2022-05-05
A0357,CT1689421,175.43,2021-11-30
A0358,FW8985625,790.95,2022-12-03
A0359,LG6033230,932.56,2020-11-19
A0360,DQ0648909,464.76,2022-04-19
A0361,QE0167618,2149.91,2025-08-01
A0362,MS0461849,206.86,2021-03-03
A0363,FM1891411,251.12,2025-07-18
A0364,JF8356420,1026.99,2025-03-05
A0365,KQ7530011,160.37,2024-07-19
A0366,QD8114374,343.56,2026-05-17
A0367,WC0455611,1903.82,2025-06-03
A0368,XV2557941,1118.0,2020-09-12
A0369,IS7467621,906.75,2022-07-15
A0370,LN2169797,1072.26,2026-08-07
A0371,CE0277167,934.14,2022-03-29
A0372,SS8993588,1279.4,2021-12-06
A0373,DA3756289,133.9,2022-10-05
A0374,VR7721753,769.59,2020-10-30
A0375,CF6631779,1369.46,2021-04-16
A0376,JJ1701660,1035.12,2022-11-10
A0377,VX9948837,166.95,2020-05-14
A0378,TC7589975,162.84,2025-06-12
A0379,XS3055488,1058.47,2025-01-16
A0380,MH7261493,1449.88,2026-01-03
A0381,HX7351609,259.54,2022-06-25
A0382,JB9827080,1396.67,2022-12-07
A0383,QM8292216,114.79,2023-02-10
A0384,SC6693465,1927.94,2021-12-25
A0385,MN9848583,208.22,2020-09-12
A0386,WW5228851,121.19,2021-10-06
A0387,BY6846081,174.82,2023-10-23
A0388,SY3424420,120.91,2024-06-03
A0389,VP0571983,259.16,2025-01-02
A0390,DA4066658,316.66,2021-05-24
A0391,XU7359893,165.64,2021-02-25
A0392,CB2122816,1780.28,2021-10-15
A0393,CJ2940572,345.95,2021-07-31
A0394,YT9479851,905.03,2023-11-28
A0395,IZ2818268,218.44,2021-04-09
A0396,HE3555439,1006.18,2021-04-12
A0397,PC0157399,1203.31,2025-06-30
A0398,XX1648408,217.4,2021-12-23
A0399,GK7043581,1595.11,2023-04-17
A0400,NI8013361,1035.92,2025-02-21
A0401,FE6120750,219.29,2025-11-17
A0402,CO8193466,1310.4,2025-04-16
A0403,CS6180919,223.88,2021-12-11
A0404,WC8144914,1596.74,2022-03-27
A0405,YZ0728326,242.03,2025-06-26
A0406,HC2450882,1934.65,2021-10-17
A0407,AP8814353,208.87,2023-11-28
A0408,QZ2394312,1248.26,2020-09-23
A0409,GM8781414,1788.75,2020-02-11
A0410,EM5523149,152.56,2023-02-21
A0411,ZU9492995,930.87,2022-11-19
A0412,RU5336452,1594.88,2020-11-29
A0413,PM7547812,492.65,2023-02-02
A0414,GO2834110,1076.27,2021-09-11
A0415,IE6930848,974.64,2023-10-21
A0416,GF6394278,369.73,2020-10-08
A0417,LK3928272,203.12,2023-03-31
A0418,EQ2750373,353.68,2024-05-06
A0419,CP3856770,1934.38,2020-01-12
A0420,YP8449892,153.71,2024-08-27
A0421,WW1846386,257.66,2023-11-05
A0422,EG9082723,1061.51,2023-02-08
A0423,ZV2259136,1795.26,2021-03-18
A0424,PC7739260,1750.96,2023-02-06
A0425,QL2809202,1415.24,2023-11-17
A0426,EE9041379,901.41,2022-07-27
A0427,KU9292984,101.86,2025-07-17
A0428,GB9913662,1225.47,2026-03-09
A0429,NM8629127,1307.36,2025-09-30
A0430,AX8117298,775.25,2025-03-20
A0431,YX6508637,1390.89,2022-10-01
A0432,FS9162473,2065.57,2023-11-08
A0433,HA4300981,426.88,2023-07-15
A0434,QQ5651269,1308.74,2021-03-03
A0435,YJ5946368,1269.52,2022-09-11
A0436,VI8744956,1244.38,2022-04-28
A0437,YV3721386,2182.95,2024-05-06
A0438,MB0260127,341.22,2024-01-11
A0439,PH5190669,1663.57,2021-07-28
A0440,SM0277038,201.32,2026-06-22
A0441,PA8392053,1732.7,2023-12-05
A0442,HA4656693,1564.7,2020-05-03
A0443,RO1848955,394.54,2020-03-18
A0444,GJ6904268,123.2,2021-02-03
A0445,YK1848947,916.46,2021-10-16
A0446,QE5779071,208.44,2021-06-07
A0447,AS3356588,1335.51,2025-04-01
A0448,UW1651827,191.04,2021-06-20
A0449,NO2373334,205.06,2023-09-30
A0450,NA9521117,2016.3,2021-06-24
A0451,RF0759579,284.05,2023-07-10
A0452,HZ8463920,1053.98,2025-01-29
A0453,SH0856271,191.79,2026-04-22
A0454,NQ0369155,113.79,2024-07-21
A0455,BN4795527,180.23,2021-07-27
A0456,KR5647292,347.33,2024-12-29
A0457,ZV4386632,299.56,2020-06-06
A0458,YF2672885,104.78,2025-05-15
A0459,QE9061203,269.8,2023-08-31
A0460,WB5455884,198.41,2020-05-28
A0461,WU9399824,957.07,2022-03-10
A0462,KO7169472,1557.06,2023-02-22
A0463,OU9961125,1020.84,2022-02-03
A0464,HC4964759,231.76,2021-10-08
A0465,ZG0234132,816.22,2021-01-07
A0466,GQ7800681,487.62,2026-04-15
A0467,IH6433472,448.37,2020-04-27
A0468,CI5577848,1179.53,2019-12-07
A0469,OO2997968,315.25,2024-08-12
A0470,AQ7831745,2137.73,2026-02-03
A0471,SF8254780,833.6,2019-10-21
A0472,XM0649308,390.2,2023-01-26
A0473,FB6326634,2196.31,2023-08-27
A0474,EL9448463,955.51,2023-05-07
A0475,UB7974973,199.23,2020-07-03
A0476,UA0214427,1699.13,2026-07-08
A0477,DS7356475,1698.34,2020-10-14
A0478,LM2046187,112.2,2022-01-16
A0479,VC6013673,1406.92,2021-06-25
A0481,XD8814743,154.09,2024-12-10
A0482,LH1365024,2064.49,2021-04-03
A0483,PK0979251,1771.38,2021-06-07
A0484,IF5005281,1333.26,2024-07-13
A0485,QC5730652,432.17,2026-08-08
A0487,SQ9821827,1017.33,2021-08-28
A0488,PU8620959,1331.25,2022-11-28
A0489,NS8638782,170.84,2024-05-03
A0490,CM1181022,486.2,2024-03-20
A0491,QD0967899,255.62,2021-01-26
A0492,XJ1037170,229.84,2023-12-21
A0493,TE5094801,161.36,2025-12-17
A0494,HQ1138633,270.15,2026-06-15
A0495,RD2886195,1403.61,2024-02-09
A0496,QK1228685,1081.49,2022-09-20
A0497,UU5585566,102.28,2023-12-06
A0498,ZA3684577,211.58,2023-09-03
A0499,ON9082404,246.52,2026-08-11
A0500,GC4888992,341.11,2019-11-19
F9000,QZ2245933,1759.78,2022-03-26
F9001,LF9693157,730.38,2024-11-09
F9002,FX9194096,1041.24,2021-01-04
F9003,AO5566139,1141.41,2024-08-13
F9004,KJ6048058,941.82,2022-05-13
F9005,GF3206799,1493.03,2021-11-03
F9006,KV4622517,1400.32,2020-12-23
F9007,WI6416862,799.51,2023-02-19
